Date,Week,Day
8/11/2023,1,Fri
8/12/2023,1,Sat
8/13/2023,1,Sun
8/14/2023,1,Mon
8/18/2023,2,Fri
8/19/2023,2,Sat
8/20/2023,2,Sun
8/21/2023,2,Mon
8/25/2023,3,Fri
8/26/2023,3,Sat
8/27/2023,3,Sun
9/1/2023,4,Fri
9/2/2023,4,Sat
9/3/2023,4,Sun
9/16/2023,5,Sat
9/17/2023,5,Sun
9/18/2023,5,Mon
9/23/2023,6,Sat
9/24/2023,6,Sun
9/30/2023,7,Sat
10/1/2023,7,Sun
10/2/2023,7,Mon
10/3/2023,2,Tue
10/7/2023,8,Sat
10/8/2023,8,Sun
10/21/2023,9,Sat
10/22/2023,9,Sun
10/23/2023,9,Mon
10/27/2023,10,Fri
10/28/2023,10,Sat
10/29/2023,10,Sun
11/4/2023,11,Sat
11/5/2023,11,Sun
11/6/2023,11,Mon
11/11/2023,12,Sat
11/12/2023,12,Sun
11/25/2023,13,Sat
11/26/2023,13,Sun
11/27/2023,13,Mon
12/2/2023,14,Sat
12/3/2023,14,Sun
12/5/2023,15,Tue
12/6/2023,15,Wed
12/7/2023,15,Thu
12/9/2023,16,Sat
12/10/2023,16,Sun
12/15/2023,17,Fri
12/16/2023,17,Sat
12/17/2023,17,Sun
12/21/2023,18,Thu
12/22/2023,18,Fri
12/23/2023,18,Sat
12/24/2023,18,Sun
12/26/2023,19,Tue
12/27/2023,19,Wed
12/28/2023,19,Thu
12/30/2023,20,Sat
12/31/2023,20,Sun
1/1/2024,20,Mon
1/2/2024,20,Tue
1/12/2024,21,Fri
1/13/2024,21,Sat
1/14/2024,21,Sun
1/20/2024,21,Sat
1/21/2024,21,Sun
1/22/2024,21,Mon
1/30/2024,22,Tue
1/31/2024,22,Wed
2/1/2024,22,Thu
2/3/2024,23,Sat
2/4/2024,23,Sun
2/5/2024,23,Mon
2/10/2024,24,Sat
2/11/2024,24,Sun
2/12/2024,24,Mon
2/17/2024,25,Sat
2/18/2024,25,Sun
2/19/2024,25,Mon
2/20/2024,18,Tue
2/21/2024,26,Wed
2/24/2024,26,Sat
2/25/2024,26,Sun
2/26/2024,26,Mon
3/2/2024,27,Sat
3/3/2024,27,Sun
3/4/2024,27,Mon
3/9/2024,28,Sat
3/10/2024,28,Sun
3/11/2024,28,Mon
3/13/2024,17,Wed
3/16/2024,29,Sat
3/17/2024,29,Sun
3/30/2024,30,Sat
3/31/2024,30,Sun
4/2/2024,31,Tue
4/3/2024,31,Wed
4/4/2024,31,Thu
4/6/2024,32,Sat
4/7/2024,32,Sun
4/13/2024,33,Sat
4/14/2024,33,Sun
4/15/2024,33,Mon
4/20/2024,34,Sat
4/21/2024,34,Sun
4/23/2024,29,Tue
4/24/2024,29,Wed
4/25/2024,29,Thu
4/27/2024,35,Sat
4/28/2024,35,Sun
5/2/2024,26,Thu
5/3/2024,36,Fri
5/4/2024,36,Sat
5/5/2024,36,Sun
5/6/2024,36,Mon
5/11/2024,37,Sat
5/12/2024,37,Sun
5/13/2024,37,Mon
5/14/2024,34,Tue
5/15/2024,34,Wed
5/19/2024,38,Sun
