PlayerID,Player,Nation,Pos,Age
1,Rodri,ESP,MF,27
2,Phil Foden,ENG,"FW,MF",23
3,Ederson,BRA,GK,29
4,Julián Álvarez,ARG,"MF,FW",23
5,Kyle Walker,ENG,DF,33
6,Bernardo Silva,POR,"MF,FW",28
7,Erling Haaland,NOR,FW,23
8,Rúben Dias,POR,DF,26
9,Manuel Akanji,SUI,"DF,MF",28
10,Joško Gvardiol,CRO,DF,21
11,Nathan Aké,NED,DF,28
12,Jeremy Doku,BEL,"FW,MF",21
13,Mateo Kovačić,CRO,MF,29
14,Kevin De Bruyne,BEL,MF,32
15,John Stones,ENG,"DF,MF",29
16,Jack Grealish,ENG,"FW,MF",27
17,Rico Lewis,ENG,"DF,MF",18
18,Matheus Nunes,POR,MF,24
19,Stefan Ortega,GER,GK,30
20,Oscar Bobb,NOR,"FW,MF",20
21,Kalvin Phillips,ENG,MF,27
22,Sergio Gómez,ESP,"FW,MF",22
23,Aymeric Laporte,ESP,DF,29
24,Cole Palmer,ENG,MF,21
25,James Mcatee,ENG,MF,20
26,Virgil van Dijk,NED,DF,32
27,Luis Díaz,COL,FW,26
28,Alexis Mac Allister,ARG,MF,24
29,Mohamed Salah,EGY,FW,31
30,Alisson,BRA,GK,30
31,Trent Alexander-Arnold,ENG,DF,24
32,Dominik Szoboszlai,HUN,MF,22
33,Darwin Núñez,URU,FW,24
34,Wataru Endo,JPN,MF,30
35,Andrew Robertson,SCO,DF,29
36,Joe Gomez,ENG,DF,26
37,Cody Gakpo,NED,"FW,MF",24
38,Ibrahima Konaté,FRA,DF,24
39,Curtis Jones,ENG,MF,22
40,Diogo Jota,POR,FW,26
41,Jarell Quansah,ENG,DF,20
42,Ryan Gravenberch,NED,MF,21
43,Harvey Elliott,ENG,"MF,FW",20
44,Caoimhín Kelleher,IRL,GK,24
45,Conor Bradley,NIR,DF,20
46,Joël Matip,CMR,DF,31
47,Kostas Tsimikas,GRE,DF,27
48,Bobby Clark,ENG,MF,18
49,Stefan Bajcetic,ESP,MF,18
50,Ben Doak,SCO,FW,17
51,Jayden Danns,ENG,FW,17
52,Owen Beck,WAL,DF,20
53,Thiago Alcántara,ESP,MF,32
54,James McConnell,ENG,MF,18
55,Kaide Gordon,ENG,FW,18
56,William Saliba,FRA,DF,22
57,Declan Rice,ENG,MF,24
58,Martin Ødegaard,NOR,MF,24
59,Ben White,ENG,DF,25
60,Bukayo Saka,ENG,FW,21
61,Gabriel Magalhães,BRA,DF,25
62,David Raya,ESP,GK,27
63,Kai Havertz,GER,"MF,FW",24
64,Gabriel Martinelli,BRA,FW,22
65,Oleksandr Zinchenko,UKR,DF,26
66,Leandro Trossard,BEL,"FW,MF",28
67,Gabriel Jesus,BRA,FW,26
68,Jakub Kiwior,POL,DF,23
69,Takehiro Tomiyasu,JPN,DF,24
70,Eddie Nketiah,ENG,FW,24
71,Jorginho,ITA,MF,31
72,Thomas Partey,GHA,"MF,DF",30
73,Aaron Ramsdale,ENG,GK,25
74,Emile Smith Rowe,ENG,MF,23
75,Fabio Vieira,POR,"MF,FW",23
76,Reiss Nelson,ENG,FW,23
77,Jurriën Timber,NED,DF,22
78,Cédric Soares,POR,DF,31
79,Mohamed Elneny,EGY,MF,31
80,Ethan Nwaneri,ENG,FW,16
81,Conor Gallagher,ENG,MF,23
82,Moisés Caicedo,ECU,MF,21
83,Nicolas Jackson,SEN,FW,22
84,Cole Palmer,ENG,"FW,MF",21
85,Axel Disasi,FRA,DF,25
86,Thiago Silva,BRA,DF,38
87,Enzo Fernández,ARG,MF,22
88,Đorđe Petrović,SRB,GK,23
89,Raheem Sterling,ENG,"FW,MF",28
90,Levi Colwill,ENG,DF,20
91,Marc Cucurella,ESP,DF,25
92,Malo Gusto,FRA,DF,20
93,Mykhailo Mudryk,UKR,FW,22
94,Robert Sánchez,ESP,GK,25
95,Benoît Badiashile,FRA,DF,22
96,Noni Madueke,ENG,FW,21
97,Trevoh Chalobah,ENG,DF,24
98,Ben Chilwell,ENG,DF,26
99,Armando Broja,ALB,FW,21
100,Reece James,ENG,DF,23
101,Lesley Ugochukwu,FRA,MF,19
102,Christopher Nkunku,FRA,"FW,MF",25
103,Carney Chukwuemeka,ENG,"MF,FW",19
104,Alfie Gilchrist,ENG,DF,19
105,Ian Maatsen,NED,"FW,MF",21
106,Cesare Casadei,ITA,"FW,MF",20
107,Roméo Lavia,BEL,MF,19
108,Deivid Washington,BRA,"DF,FW",18
109,Mason Burstow,ENG,FW,19
110,Joshua Acheampong,ENG,DF,17
111,Alex Matos,ENG,MF,18
112,Jimi Tauriainen,ENG,FW,19
113,Bruno Guimarães,BRA,MF,25
114,Fabian Schär,SUI,DF,31
115,Anthony Gordon,ENG,FW,22
116,Dan Burn,ENG,DF,31
117,Sean Longstaff,ENG,MF,25
118,Alexander Isak,SWE,FW,23
119,Kieran Trippier,ENG,DF,32
120,Miguel Almirón,PAR,FW,29
121,Martin Dúbravka,SVK,GK,34
122,Sven Botman,NED,DF,23
123,Nick Pope,ENG,GK,31
124,Joelinton,BRA,"MF,FW",26
125,Lewis Miley,ENG,MF,17
126,Jacob Murphy,ENG,"FW,DF",28
127,Jamaal Lascelles,ENG,DF,29
128,Valentino Livramento,ENG,DF,20
129,Elliot Anderson,SCO,"MF,FW",20
130,Callum Wilson,ENG,FW,31
131,Emil Krafth,SWE,DF,28
132,Lewis Hall,ENG,DF,18
133,Harvey Barnes,ENG,"FW,MF",25
134,Sandro Tonali,ITA,MF,23
135,Joe Willock,ENG,MF,23
136,Loris Karius,GER,GK,30
137,Matt Targett,ENG,DF,27
138,Matt Ritchie,SCO,"FW,MF",33
139,Ben Parkinson,ENG,FW,18
140,Paul Dummett,WAL,DF,31
141,Alex Murphy,IRL,"DF,FW",19
142,Joe White,ENG,MF,20
143,Amadou Diallo,ENG,MF,20
144,Michael Ndiweni,ENG,FW,19
145,Guglielmo Vicario,ITA,GK,26
146,Pedro Porro,ESP,DF,23
147,Son Heung-min,KOR,FW,31
148,Cristian Romero,ARG,DF,25
149,Dejan Kulusevski,SWE,"FW,MF",23
150,Destiny Udogie,ITA,DF,20
151,Micky van de Ven,NED,DF,22
152,Pape Matar Sarr,SEN,MF,20
153,James Maddison,ENG,MF,26
154,Yves Bissouma,MLI,MF,26
155,Brennan Johnson,WAL,FW,22
156,Richarlison,BRA,FW,26
157,Rodrigo Bentancur,URU,MF,26
158,Ben Davies,WAL,DF,30
159,Emerson,BRA,DF,24
160,Timo Werner,GER,FW,27
161,Pierre Højbjerg,DEN,MF,27
162,Oliver Skipp,ENG,"MF,DF",22
163,Giovani Lo Celso,ARG,MF,27
164,Radu Drăgușin,ROU,DF,21
165,Bryan Gil,ESP,"FW,MF",22
166,Manor Solomon,ISR,FW,24
167,Eric Dier,ENG,DF,29
168,Ivan Perišić,CRO,FW,34
169,Davinson Sánchez,COL,DF,27
170,Alejo Véliz,ARG,FW,19
171,Dane Scarlett,ENG,FW,19
172,Mikey Moore,ENG,MF,15
173,Jamie Donley,ENG,FW,18
174,André Onana,CMR,GK,27
175,Diogo Dalot,POR,DF,24
176,Bruno Fernandes,POR,"MF,FW",28
177,Alejandro Garnacho,ARG,FW,19
178,Marcus Rashford,ENG,FW,25
179,Rasmus Højlund,DEN,FW,20
180,Casemiro,BRA,"MF,DF",31
181,Kobbie Mainoo,ENG,MF,18
182,Aaron Wan-Bissaka,ENG,DF,25
183,Scott McTominay,SCO,"MF,FW",26
184,Harry Maguire,ENG,DF,30
185,Raphaël Varane,FRA,DF,30
186,Jonny Evans,NIR,DF,35
187,Antony,BRA,FW,23
188,Victor Lindelöf,SWE,DF,29
189,Christian Eriksen,DEN,MF,31
190,Luke Shaw,ENG,DF,28
191,Sofyan Amrabat,MAR,"MF,DF",26
192,Lisandro Martínez,ARG,DF,25
193,Mason Mount,ENG,"MF,FW",24
194,Anthony Martial,FRA,FW,27
195,Sergio Reguilón,ESP,DF,26
196,Amad Diallo,CIV,"FW,MF",21
197,Willy Kambwala,FRA,DF,18
198,Facundo Pellistri,URU,"FW,MF",21
199,Hannibal Mejbri,TUN,"MF,FW",20
200,Omari Forson,ENG,FW,19
201,Jadon Sancho,ENG,"FW,MF",23
202,Ethan Wheatley,ENG,FW,17
203,Donny van de Beek,NED,DF,26
204,Daniel Gore,ENG,MF,18
205,Ollie Watkins,ENG,FW,27
