Date,HomeTeamID,AwayTeamID,StadiumID,HXG,AXG,HTG,ATG,Attendance
8/11/2023,1,16,1,0.3,1.9,0,3,21572
8/12/2023,2,11,2,0.8,1.2,2,1,59984
8/12/2023,3,13,3,2.7,1.5,0,1,39940
8/12/2023,4,20,4,4,1.5,4,1,31872
8/12/2023,5,19,5,0.5,1.9,0,1,31194
8/12/2023,6,18,6,1.3,1.1,1,1,11245
8/12/2023,7,17,7,3.3,1.8,5,1,52207
8/13/2023,8,15,8,2.2,1.3,2,2,17066
8/13/2023,9,14,9,1.4,1.3,1,1,40096
8/14/2023,10,12,10,2.2,2.2,1,0,73358
8/18/2023,11,5,11,1.4,0.5,2,1,29432
8/19/2023,12,4,12,2.1,2.2,1,4,31317
8/19/2023,13,8,13,0.5,3.7,0,3,24236
8/19/2023,14,6,14,3,1.3,3,1,53145
8/19/2023,15,10,15,1.7,2.1,2,0,61910
8/19/2023,16,7,16,1,0.3,1,0,53419
8/20/2023,17,3,17,2.9,0.6,4,0,41694
8/20/2023,18,9,18,1.8,2.5,3,1,62451
8/21/2023,19,2,19,1,2,0,1,24189
8/25/2023,9,20,9,2.2,0.4,3,0,39893
8/26/2023,6,15,6,0.7,2.1,0,2,10567
8/26/2023,3,12,3,1.3,1.1,0,1,38851
8/26/2023,10,11,10,2.8,1.2,3,2,73595
8/26/2023,8,19,8,1,0.8,1,1,16997
8/26/2023,2,13,2,3.2,0.6,2,2,59961
8/26/2023,4,18,4,1.5,3,1,3,31508
8/27/2023,5,16,5,0.7,3.5,1,2,31336
8/27/2023,1,17,1,0.7,2.5,1,3,21591
8/27/2023,7,14,7,2,0.9,1,2,52214
9/1/2023,20,18,20,1.4,1,1,2,10802
9/2/2023,5,3,5,1.2,2.5,2,2,31124
9/2/2023,8,6,8,2.9,2.1,2,2,16973
9/2/2023,16,13,16,2.2,1.4,5,1,52899
9/2/2023,9,11,9,2.3,0.8,0,1,39820
9/2/2023,1,15,1,1.3,2.2,2,5,21750
9/2/2023,4,7,4,1.3,1.2,3,1,31620
9/3/2023,19,12,19,2.1,1.2,3,2,24741
9/3/2023,14,17,14,2.5,0.7,3,0,50109
9/3/2023,2,10,2,2.3,0.9,3,1,60192
9/16/2023,12,14,12,0.6,2.5,1,3,31257
9/16/2023,15,5,15,2.1,0.7,2,1,61706
9/16/2023,18,16,18,0.9,3.6,1,3,62475
9/16/2023,17,19,17,3,1.2,3,1,40809
9/16/2023,13,20,13,1,1.1,1,0,24467
9/16/2023,10,4,10,1,1.7,1,3,73592
9/16/2023,7,8,7,1.4,0.5,1,0,51670
9/17/2023,6,9,6,1,1.8,0,0,10421
9/17/2023,3,2,3,0.3,1,0,1,39217
9/18/2023,11,1,11,0.7,0.5,1,1,28958
9/23/2023,20,12,20,2.1,0.6,1,1,10893
9/23/2023,16,11,16,1.3,1,2,0,53413
9/23/2023,19,13,19,0.3,0.6,0,0,25072
9/23/2023,8,3,8,1,1.9,1,3,16981
9/23/2023,1,10,1,1.1,1,0,1,21593
9/24/2023,9,17,9,1.3,1,0,1,39700
9/24/2023,2,15,2,1.8,1.4,2,2,60156
9/24/2023,14,18,14,3,1.1,3,1,50136
9/24/2023,4,6,4,1.9,1.1,3,1,31617
9/24/2023,5,7,5,0.9,3.9,0,8,31127
9/30/2023,17,4,17,1.6,1.7,6,1,40636
9/30/2023,10,19,10,1.3,0.9,0,1,73428
9/30/2023,12,16,12,0.4,0.9,2,1,31415
9/30/2023,18,5,18,2.1,1.1,2,0,62459
9/30/2023,6,2,6,0.6,3.4,0,4,11193
9/30/2023,7,1,7,3.1,0.6,2,0,51687
9/30/2023,3,20,3,2.9,0.9,1,2,39289
9/30/2023,15,14,15,2.2,1.3,2,1,62001
10/1/2023,11,8,11,0.5,1.6,1,1,29004
10/2/2023,13,9,13,1.1,1.7,0,2,24445
10/3/2023,20,1,20,1.3,1.1,1,2,10918
10/7/2023,20,15,20,0.8,1.9,0,1,10290
10/7/2023,1,9,1,0.7,1.9,1,4,21654
10/7/2023,10,8,10,1.4,0.9,2,1,73453
10/7/2023,3,6,3,2.4,0.7,3,0,38815
10/7/2023,13,5,13,2.2,0.6,3,1,24361
10/7/2023,19,11,19,0.8,1,0,0,25017
10/8/2023,18,7,18,1.2,2,2,2,62473
10/8/2023,12,17,12,1.7,1.6,1,1,31425
10/8/2023,4,14,4,2.3,2.3,2,2,31752
10/8/2023,2,16,2,0.4,0.5,1,0,60233
10/21/2023,14,3,14,2.2,0.1,2,0,50201
10/21/2023,8,1,8,3.1,1.1,3,0,17029
10/21/2023,11,20,11,2.9,1.7,2,2,29361
10/21/2023,6,12,6,0.6,2.4,1,2,11175
10/21/2023,7,19,7,2.4,1.2,4,0,52189
10/21/2023,16,4,16,0.8,0.8,2,1,53466
10/21/2023,9,2,9,1.3,1,2,2,39723
10/21/2023,5,10,5,1.4,1.1,1,2,31543
10/22/2023,17,18,17,1.9,1.1,4,1,41734
10/23/2023,15,13,15,1.5,1,2,0,61286
10/27/2023,19,15,19,0.6,1.1,1,2,25074
10/28/2023,9,8,9,1.9,2.2,0,2,39575
10/28/2023,2,5,2,2.8,0,5,0,60153
10/28/2023,6,1,6,1.1,0.8,2,1,11152
10/28/2023,12,7,12,0.9,2.2,2,2,31584
10/29/2023,18,3,18,0.7,0.8,0,1,62469
10/29/2023,4,13,4,1.4,0.7,1,1,31550
10/29/2023,14,11,14,3.2,0.4,3,0,50143
10/29/2023,17,20,17,2.3,0.5,3,1,41785
10/29/2023,10,16,10,0.9,4,0,3,73502
11/4/2023,13,10,13,1,0.7,0,1,24415
11/4/2023,8,18,8,1.5,1.8,3,2,17103
11/4/2023,1,19,1,1.1,1.3,0,2,21578
11/4/2023,16,6,16,1.9,0.9,6,1,53358
11/4/2023,3,4,3,0.7,0.5,1,1,38683
11/4/2023,5,12,5,1,1.2,2,1,29454
11/4/2023,7,2,7,1,0.6,1,0,52194
11/5/2023,11,17,11,0.4,1.2,2,0,29313
11/5/2023,20,14,20,0.8,2.6,1,1,11049
11/6/2023,15,9,15,0.9,4.1,1,4,61726
11/11/2023,12,15,12,2.1,0.7,2,1,31642
11/11/2023,10,20,10,2.2,0.4,1,0,73599
11/11/2023,19,3,19,2.2,1.5,2,3,25103
11/11/2023,2,1,2,1.8,0.3,3,1,60232
11/11/2023,6,7,6,2.4,0.5,2,0,11201
11/12/2023,17,13,17,3,0.9,3,1,41608
11/12/2023,4,5,4,1.5,1.1,1,1,31367
11/12/2023,14,8,14,1.7,1.6,3,0,50151
11/12/2023,18,11,18,1.8,1.7,3,2,62470
11/12/2023,9,16,9,2.9,2.9,4,4,39532
11/25/2023,16,14,16,1.3,0.6,1,1,53289
11/25/2023,5,6,5,0.8,2.9,1,3,30208
11/25/2023,7,9,7,2.4,0.5,4,1,52227
11/25/2023,20,19,20,0.9,1.6,2,1,11029
11/25/2023,1,18,1,1.3,0.9,1,2,21319
11/25/2023,11,4,11,1.9,1.3,2,3,29404
11/25/2023,8,2,8,1.1,1.6,0,1,17201
11/26/2023,15,17,15,2.3,1.7,1,2,61679
11/26/2023,3,10,3,2.4,2.2,0,3,39257
11/27/2023,13,12,13,2.9,1.4,3,2,24366
12/2/2023,2,12,2,2.8,0.7,2,1,60262
12/2/2023,8,20,8,3.1,0.2,3,1,17075
12/2/2023,1,5,1,1.8,0.4,5,0,21478
12/2/2023,11,3,11,0.7,0.7,0,1,29404
12/2/2023,7,10,7,2.4,0.5,1,0,52214
12/3/2023,6,17,6,2,0.7,2,2,11191
12/3/2023,18,19,18,1.1,0.9,1,1,62414
12/3/2023,14,13,14,2.1,1.2,4,3,50124
12/3/2023,9,4,9,2.1,1.1,3,2,39647
