PlayerID,TeamID,MP,Starts,Min,Gls,Ast,xG,xAG,npxG,CrdY,CrdR,PrgC,PrgP,PrgR
1,16,34,34,2931.0,8.0,9.0,4.1,3.9,4.1,8.0,1.0,76.0,376.0,55.0
2,16,35,33,2857.0,19.0,8.0,10.3,8.4,10.3,2.0,0.0,93.0,168.0,269.0
3,16,33,33,2785.0,0.0,0.0,0.0,0.1,0.0,5.0,0.0,0.0,4.0,0.0
4,16,36,31,2647.0,11.0,8.0,13.0,6.4,11.5,2.0,0.0,64.0,103.0,180.0
5,16,32,30,2767.0,0.0,4.0,0.4,2.6,0.4,2.0,0.0,74.0,157.0,172.0
6,16,33,29,2578.0,6.0,9.0,3.7,7.6,3.7,8.0,0.0,140.0,177.0,260.0
7,16,31,29,2552.0,27.0,5.0,29.2,4.3,22.9,1.0,0.0,35.0,26.0,126.0
8,16,30,28,2559.0,0.0,0.0,1.4,0.3,1.4,0.0,0.0,34.0,173.0,16.0
9,16,30,28,2511.0,2.0,0.0,1.9,0.5,1.9,4.0,1.0,46.0,148.0,36.0
10,16,28,26,2328.0,4.0,1.0,3.1,1.4,3.1,3.0,0.0,63.0,136.0,115.0
11,16,29,24,2042.0,2.0,2.0,2.5,1.2,2.5,0.0,0.0,24.0,116.0,18.0
12,16,29,18,1595.0,3.0,8.0,2.5,4.6,2.5,3.0,0.0,218.0,57.0,295.0
13,16,30,16,1551.0,1.0,0.0,1.3,1.6,1.3,4.0,0.0,37.0,100.0,38.0
14,16,18,15,1221.0,4.0,10.0,2.4,11.5,2.4,2.0,0.0,47.0,111.0,133.0
15,16,16,12,1064.0,1.0,0.0,1.0,0.2,1.0,2.0,0.0,16.0,57.0,24.0
16,16,20,10,1009.0,3.0,1.0,2.1,2.5,2.1,6.0,0.0,87.0,50.0,146.0
17,16,16,8,809.0,2.0,0.0,0.6,1.1,0.6,1.0,0.0,21.0,33.0,46.0
18,16,17,7,661.0,0.0,2.0,0.8,1.1,0.8,0.0,0.0,28.0,34.0,58.0
19,16,9,5,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,16,14,2,302.0,1.0,1.0,1.4,1.2,1.4,0.0,0.0,13.0,25.0,38.0
21,16,4,0,93.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,7.0,7.0,3.0
22,16,6,0,53.0,0.0,1.0,0.2,0.2,0.2,0.0,0.0,4.0,2.0,4.0
23,16,1,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,16,1,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,16,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,14,36,36,3177.0,2.0,2.0,2.8,1.6,2.8,3.0,1.0,32.0,200.0,7.0
27,14,37,32,2629.0,8.0,5.0,11.9,5.7,11.9,3.0,0.0,137.0,113.0,302.0
28,14,33,31,2599.0,5.0,5.0,3.7,3.6,2.9,7.0,1.0,44.0,209.0,48.0
